score,auc,average_precision,base_rate,precision_at_10,actual_amount_sum_at_10,zero_actual_count_at_10,precision_at_30,actual_amount_sum_at_30,zero_actual_count_at_30,precision_at_50,actual_amount_sum_at_50,zero_actual_count_at_50,precision_at_100,actual_amount_sum_at_100,zero_actual_count_at_100,precision_at_200,actual_amount_sum_at_200,zero_actual_count_at_200,precision_at_500,actual_amount_sum_at_500,zero_actual_count_at_500
original_model_amount,0.9103501097745239,0.46381060327569557,0.0902317880794702,0.7,3103856039.3300796,3,0.5,3767179650.88435,15,0.5,4169692098.147255,25,0.54,4648371538.1177,46,0.49,5191830917.924223,101,0.356,5312765509.691317,292
structural_risk_score,0.89803595428705,0.5879853535016301,0.0902317880794702,0.8,951606342.0111299,2,0.8666666666666667,2774015279.177531,4,0.86,3149900074.856428,7,0.75,3826230586.4680276,24,0.59,4218571777.3455772,73,0.344,4866567349.764388,243
current_abs_relz_excess_x_value,0.7530156689567664,0.45916704801016506,0.0902317880794702,0.7,2984970960.9011745,3,0.6333333333333333,3766868160.0835958,11,0.62,4017371401.7153344,19,0.6,4288425370.9009075,40,0.565,4321884359.687713,80,0.268,4344581877.00327,229
quick_hybrid_0.30model_0.40struct_0.30current,0.8975882996218414,0.5520672166826984,0.0902317880794702,0.8,1785993711.709186,2,0.8666666666666667,3477270277.749484,4,0.84,3739928334.0713916,8,0.69,4275516489.0010924,31,0.59,4336421010.538619,75,0.332,4835453620.597699,239
