date,hs_code,country_code,country_name,hs_name,import_value,import_weight,year_month,year,month,unit_price,log_price,ht_country_count,ht_median_log_price,ht_mad_log_price,rel_z,price_rank_pct,loo_median_log_price,counterfactual_dev,counterfactual_dev_scaled,network_isolation_score,total_hs_month_import,import_share_country,hhi_hs_month,concentration_risk,lag_date,price_return,rank_shift,abs_rank_shift,import_growth,weight_growth,log_import_value,log_import_weight,anomaly_abs,anomaly_up,anomaly_down,abs_rel_z,anomaly_abs_roll3,anomaly_up_roll3,anomaly_down_roll3,abs_rel_z_roll3,price_return_roll3,price_volatility_roll3,import_growth_roll3,return_sign,majority_sign,sync_score,idiosyncratic_current_score,ht_median_return,ht_mad_return,total_import_return,price_distribution_shift,month_sin,month_cos,next_date,next_rel_z,next_price_rank_pct,next_network_isolation_score,has_next_month,future_abs_anomaly,future_up_anomaly,future_down_anomaly,future_net_anomaly_amount,future_up_anomaly_amount,future_down_anomaly_amount,actual_top_anomaly,predicted_net_anomaly_amount,risk_rank,pred_amount_score,idiosyncratic_score,systemic_score,persistence_score,concentration_score,structural_risk_score,risk_type,warning_rank,quick_model_rank_score,quick_current_excess_amount,quick_current_excess_score,quick_structural_score,quick_hybrid_warning_score,quick_upgrade_rank,quick_score_decile
2024-04-01,854232,HK,홍콩,메모리,212256392,3705,202404,2024,4,57289.17462887989,10.955866960402,22,7.670227914873275,1.5157202568621573,2.1677080784884755,1.0,7.4692977810398355,3.4865691793621645,2.3002722062843293,0.8443797926283567,1695707358,0.1251727728836097,0.6267789189030138,0.0784556552640814,2024-03-01,0.4575068034456286,0.0,0.0,0.4584902302615645,-0.0769805680119581,19.173305498132187,8.217438537730187,1.0,1.0,0.0,2.1677080784884755,1.0,1.0,0.0,2.0066433108528936,0.4389582874741068,0.9398022971182752,0.4839371145904292,1.0,1.0,0.4090909090909091,1.2809184100159172,-0.1114004804774007,-0.1179576178938042,-0.0358594688141709,0.1513194443456058,0.8660254037844387,-0.4999999999999998,2024-05-01,1.2272984385595496,0.9545454545454546,0.6544858065402244,True,0.0,0.0,0.0,0.0,0.0,0.0,0,64928119.81538236,19,0.9925496688741722,0.8700331125827815,0.0511175496688741,0.9546771523178808,0.9383278145695364,0.9314879966887416,country_specific_deviation,19,0.9925496688741722,141725307.64921662,0.9962748344370861,0.9314879966887416,0.9692425496688741,1,10
2024-09-01,854231,JP,일본,프로세서와 컨트롤러[메모리ㆍ변환기ㆍ논리회로ㆍ증폭기ㆍ클록(clock)ㆍ타이밍(timing) 회로나 그 밖의 회로를 갖춘 것인지는 상관없다],597245277,10487,202409,2024,9,56951.013349861736,10.94994676239326,41,8.301814020077744,1.2535853652142617,2.1124470784348217,0.975,8.289248917098725,2.660697845294536,2.1224704109717902,0.8246874764039497,3032037323,0.1969782075139713,0.3224531376942175,0.0635162410702627,2024-08-01,0.1323487117361974,-0.025,0.025,0.0907495796311932,-0.0444646924829157,20.207838436227664,9.257891673834406,1.0,1.0,0.0,2.1124470784348217,1.0,1.0,0.0,1.817368187319048,0.1736987240940089,0.1653037539285646,0.2579436963796914,1.0,1.0,0.4390243902439024,1.1850312879024612,0.1678417451435372,-0.1549115084271033,0.077592810079931,0.2574639151531262,-1.0,-1.8369701987210294e-16,2024-10-01,2.662325680747813,0.95,0.8345170259367023,True,1.1623256807478128,1.1623256807478128,0.0,694193523.162441,694193523.162441,0.0,1,110615720.5352666,5,0.9983443708609272,0.8629966887417219,0.1490066225165563,0.9546771523178808,0.9267384105960264,0.9189466059602648,country_specific_deviation,5,0.9983443708609272,365781125.00764585,0.9987582781456954,0.9189466059602648,0.9667094370860927,2,10
2024-04-01,854231,JP,일본,프로세서와 컨트롤러[메모리ㆍ변환기ㆍ논리회로ㆍ증폭기ㆍ클록(clock)ㆍ타이밍(timing) 회로나 그 밖의 회로를 갖춘 것인지는 상관없다],385765494,10856,202404,2024,4,35534.77284450995,10.478267012796774,37,8.146495193427576,1.2469096634420254,1.870040699606474,0.9722222222222222,8.062454501698085,2.415812511098689,1.9374398819157213,0.7516775989547966,2498016918,0.154428695506537,0.3329335760904707,0.0514144978459777,2024-03-01,0.1170142654695052,0.0511695906432748,0.0511695906432748,0.0878601014236872,-0.0322695667676947,19.77074021431148,9.292473201514705,1.0,1.0,0.0,1.870040699606474,1.0,1.0,0.0,2.1185938071499897,-0.0999630073167197,0.1579926126325976,0.0038303343316343,1.0,-1.0,0.4324324324324324,1.0613744511279988,0.0516502869863142,0.0425433278911011,0.07916664832607,0.0755415906199721,0.8660254037844387,-0.4999999999999998,2024-05-01,1.491412454187359,1.0,0.7451253294691957,True,0.0,0.0,0.0,0.0,0.0,0.0,0,107703534.89441095,8,0.9971026490066224,0.8191225165562914,0.0064155629139072,0.9546771523178808,0.9118377483443708,0.9153042218543044,country_specific_deviation,8,0.9971026490066225,142748933.28379706,0.9966887417218543,0.9153042218543044,0.9642591059602649,3,10
2024-04-01,854233,SG,싱가포르,증폭기,5935598,254,202404,2024,4,23368.49606299213,10.059144072145584,19,7.462274560617206,0.6364526643977548,4.080224118451409,1.0,7.438541605500671,2.6206024666449146,4.117513545370522,0.9118225757754524,26253476,0.2260880806792974,0.2131853859247484,0.0481986747326017,2024-03-01,0.8948160974675492,0.0526315789473684,0.0526315789473684,-0.0496804542245893,-0.6116207951070336,15.596478339164122,5.537334267018537,1.0,1.0,0.0,4.080224118451409,1.0,1.0,0.0,2.889241630846941,-0.1437268233987977,0.4158454452726065,0.3757603996958503,1.0,-1.0,0.4736842105263157,2.147486378132321,-0.083507423222227,0.1418483772148255,-0.0567193738020799,0.3540804508530811,0.8660254037844387,-0.4999999999999998,2024-05-01,3.0170121756095725,0.9444444444444444,0.880855538378148,True,1.5170121756095725,1.5170121756095725,0.0,9004374.435523827,9004374.435523827,0.0,1,6769556.3524458045,73,0.9701986754966888,0.9747516556291392,0.2680049668874172,0.9546771523178808,0.9081125827814568,0.9363307119205296,country_specific_deviation,73,0.9701986754966887,15315173.117031947,0.9822019867549668,0.9363307119205296,0.9602524834437085,4,10
2024-03-01,854231,JP,일본,프로세서와 컨트롤러[메모리ㆍ변환기ㆍ논리회로ㆍ증폭기ㆍ클록(clock)ㆍ타이밍(timing) 회로나 그 밖의 회로를 갖춘 것인지는 상관없다],354609470,11218,202403,2024,3,31610.7568193974,10.361252747327269,39,8.094844906441262,1.2043663355509242,1.881825964397505,0.9210526315789472,8.046366086662788,2.314886660664481,1.9220785174185075,0.727156024766569,2314764751,0.153194604266721,0.3163788052249381,0.0484675258648124,2024-02-01,0.0232095326343575,-0.0495356037151702,0.0495356037151702,0.2288782530880224,0.2006850048164401,19.68652765739555,9.325274910068282,1.0,1.0,0.0,1.881825964397505,1.0,1.0,0.0,2.2701651339006363,-0.1679610413032767,0.1170743005581209,-0.1137396296206034,1.0,1.0,0.4358974358974359,1.0615428517114132,0.0289172944052857,0.2002698382596417,0.0170703311104649,0.1902967025920613,1.0,6.123233995736766e-17,2024-04-01,1.870040699606474,0.9722222222222222,0.7516775989547966,True,0.370040699606474,0.370040699606474,0.0,131219936.36588097,131219936.36588097,0.0,1,81715731.89262623,13,0.9950331125827816,0.8187086092715232,0.072433774834437,0.9546771523178808,0.9093543046357616,0.9076676324503312,country_specific_deviation,13,0.9950331125827815,135399102.86723813,0.9954470198675497,0.9076676324503312,0.9602110927152319,5,10
2024-11-01,854239,US,미국,기타,47227468,2253,202411,2024,11,20962.036395916555,9.95046829000934,44,7.647536443088443,1.007315806647013,2.286206402921957,0.9767441860465116,7.625110890703309,2.3253573993060312,2.3084690858235395,0.8253204860370862,662527186,0.0712838189858068,0.2698451130601869,0.0192355901935869,2024-10-01,-0.0836852154339897,0.0355677154582763,0.0355677154582763,-0.2091103846861896,-0.1400763358778626,17.670486230441586,7.720017940432244,1.0,1.0,0.0,2.286206402921957,1.0,1.0,0.0,2.1323846718591497,0.143970673904685,0.1511650141363663,-0.0002334997199771,-1.0,-1.0,0.4772727272727273,1.195062437891023,0.0099418657693375,-0.0824473838331574,0.0602877997842936,0.0917181655193709,-0.5000000000000004,0.8660254037844384,2024-12-01,2.752553628455665,0.975609756097561,0.8542339928079543,True,1.252553628455665,1.252553628455665,0.0,59154936.40617381,59154936.40617381,0.0,1,9837369.315192914,56,0.9772350993377484,0.8878311258278145,0.0397350993377483,0.9546771523178808,0.8269867549668874,0.9183257450331126,country_specific_deviation,56,0.9772350993377483,37130537.73539183,0.9884105960264901,0.9183257450331126,0.9570240066225165,6,10
2024-01-01,854231,JP,일본,프로세서와 컨트롤러[메모리ㆍ변환기ㆍ논리회로ㆍ증폭기ㆍ클록(clock)ㆍ타이밍(timing) 회로나 그 밖의 회로를 갖춘 것인지는 상관없다],437408621,10724,202401,2024,1,40787.82366654233,10.61613887630478,37,8.310343258544357,1.042822853097304,2.2111095963345484,0.9722222222222222,8.309575794209843,2.306563082094936,2.211845545237312,0.8149325692046185,2505202444,0.1746001094832079,0.2575550811702479,0.0449691453702817,2023-12-01,-0.0450028929726489,-0.0007507507507508,0.0007507507507508,0.1229011321059134,0.1745892661555312,19.89637837566063,9.28023949935585,1.0,1.0,0.0,2.2111095963345484,1.0,1.0,0.0,2.1393193290251484,0.1200291425722503,0.3180468427906087,0.0105015381010921,-1.0,1.0,0.5135135135135135,1.075674938757348,-0.2143710656962625,0.1284676545358092,0.1019838230199448,0.3287599523292474,0.4999999999999999,0.8660254037844387,2024-02-01,2.2628458607179147,0.9705882352941176,0.7858641658625534,True,0.7628458607179147,0.7628458607179147,0.0,333675355.97218114,333675355.97218114,0.0,1,113768558.7438945,3,0.9991721854304636,0.8754139072847682,0.4029387417218543,0.9546771523178808,0.9006622516556292,0.8941949503311257,country_specific_deviation,3,0.9991721854304636,311045467.9125615,0.9983443708609272,0.8941949503311257,0.9569329470198675,7,10
2024-10-01,854239,US,미국,기타,59714361,2620,202410,2024,10,22791.740839694656,10.03415350544333,52,7.637594577319105,1.0897631904801703,2.199155696448377,0.9411764705882352,7.629313329453398,2.404840175989932,2.2067548225136084,0.7993457294990192,624855993,0.0955649968456011,0.2230934030464766,0.0213199203584109,2024-09-01,0.132778964729864,-0.036096256684492,0.036096256684492,0.0159706545267237,-0.1103565365025467,17.90508310219847,7.8709295967551425,1.0,1.0,0.0,2.199155696448377,1.0,1.0,0.0,2.110921875710254,0.0464148046513077,0.2338327503305212,-0.0389485118529212,1.0,1.0,0.4423076923076923,1.2264522153269797,0.1368282092980433,0.0229246611824023,-0.2262655941200503,0.1465939804922894,-0.8660254037844386,0.5000000000000001,2024-11-01,2.286206402921957,0.9767441860465116,0.8253204860370862,True,0.7862064029219571,0.7862064029219571,0.0,46947812.9645932,46947812.9645932,0.0,1,21003445.692120623,35,0.9859271523178808,0.8716887417218543,0.1084437086092715,0.9546771523178808,0.8414735099337748,0.9101510761589404,country_specific_deviation,35,0.9859271523178808,41749635.6529248,0.9892384105960265,0.9101510761589404,0.9566100993377483,8,10
2024-02-01,854233,SG,싱가포르,증폭기,2901480,163,202402,2024,2,17800.490797546012,9.786981308795896,23,7.675774873580418,0.7706229804683966,2.739610015175322,0.9545454545454546,7.5725737243364595,2.214407584459435,2.873529132382587,0.8683983752705791,21701512,0.1336994399284252,0.1696403748370119,0.0226808231049566,2024-01-01,0.1257278032501787,0.0598086124401914,0.0598086124401914,-0.393974838138054,-0.4655737704918032,14.880731509602658,5.093750200806762,1.0,1.0,0.0,2.739610015175322,1.0,1.0,0.0,3.8247118163198337,-0.097905615330091,0.1960285236741051,-0.0047043750858306,1.0,1.0,0.4347826086956521,1.5484752259686605,-0.0396745692091764,0.0379357454503539,-0.1752752431609429,0.1007110038443881,0.8660254037844386,0.5000000000000001,2024-03-01,3.272405906663693,0.9473684210526316,0.9200630774681826,True,1.772405906663693,1.772405906663693,0.0,5142600.290066572,5142600.290066572,0.0,1,6003092.260153769,75,0.9693708609271524,0.9225993377483444,0.0163493377483443,0.9546771523178808,0.8464403973509934,0.9337851821192054,country_specific_deviation,75,0.9693708609271523,3596703.666830894,0.972682119205298,0.9337851821192054,0.9561299668874172,9,10
2024-10-01,854231,JP,일본,프로세서와 컨트롤러[메모리ㆍ변환기ㆍ논리회로ㆍ증폭기ㆍ클록(clock)ㆍ타이밍(timing) 회로나 그 밖의 회로를 갖춘 것인지는 상관없다],698090412,10813,202410,2024,10,64560.2896513456,11.075354789478771,41,7.922643214384418,1.184194555118741,2.662325680747813,0.95,7.879157244019878,3.1961975454588947,2.699047662095024,0.8345170259367023,3240630386,0.2154180911886321,0.2941521078065355,0.0633656855827966,2024-09-01,0.1254080270855126,-0.025,0.025,0.1688504520396567,0.0310861066081815,20.36385918242431,9.288504392945535,1.0,1.0,0.0,2.662325680747813,1.0,1.0,0.0,1.9088002603873155,0.2225226062066353,0.0834631528846668,0.3343795666419063,1.0,1.0,0.5609756097560976,1.168825908620991,-0.3791708056933265,-0.0693908100955207,0.0687963375047149,0.3787901532394025,-0.8660254037844386,0.5000000000000001,2024-11-01,2.225772999317924,1.0,0.8042631935424353,True,0.725772999317924,0.725772999317924,0.0,506655172.1123253,506655172.1123253,0.0,1,117052667.1128498,1,1.0,0.9151490066225164,0.6276903973509934,0.9546771523178808,0.9263245033112584,0.8896833609271524,common_plus_country_specific,1,1.0,811408413.3514211,1.0,0.8896833609271524,0.9558733443708609,10,10
2024-02-01,854231,JP,일본,프로세서와 컨트롤러[메모리ㆍ변환기ㆍ논리회로ㆍ증폭기ㆍ클록(clock)ㆍ타이밍(timing) 회로나 그 밖의 회로를 갖춘 것인지는 상관없다],288563549,9343,202402,2024,2,30885.53451782083,10.338043214692911,35,8.065927612035976,1.0040964972912825,2.2628458607179147,0.9705882352941176,8.013006926294755,2.325036288398156,2.315550641467557,0.7858641658625534,2275914143,0.1267901734727257,0.3562542522464687,0.0451695384427259,2024-01-01,-0.2780956616118679,-0.0016339869281045,0.0016339869281045,-0.340288382199033,-0.1287765759045132,19.480425893485865,9.142382678792956,1.0,1.0,0.0,2.2628458607179147,1.0,1.0,0.0,2.260806838260773,0.0756987125440087,0.3336322756607423,-0.0058693421797532,-1.0,-1.0,0.5142857142857142,1.0990965609201302,-0.2444156465083811,-0.0387263558060215,-0.0915248592181239,0.2819865631357758,0.8660254037844386,0.5000000000000001,2024-03-01,1.881825964397505,0.9210526315789472,0.727156024766569,True,0.381825964397505,0.381825964397505,0.0,110181055.38689172,110181055.38689172,0.0,1,59145100.07026692,21,0.9917218543046358,0.8807947019867549,0.3696192052980132,0.9546771523178808,0.9014900662251656,0.8976717715231788,country_specific_deviation,21,0.9917218543046358,220129508.90872115,0.9971026490066225,0.8976717715231788,0.955716059602649,11,10
2024-06-01,854239,US,미국,기타,68412501,3940,202406,2024,6,17363.57893401015,9.762130126759542,43,7.727735183092155,0.8075736048594289,2.519144919330922,0.9523809523809524,7.704282561189808,2.057847565569734,2.548185766829186,0.8303646890115247,571187518,0.1197724019592458,0.1924049789935542,0.0230448064829762,2024-05-01,0.2136490333319383,0.0576441102756891,0.0576441102756891,0.5264270282435797,0.2327909887359198,18.04106612905152,8.27893600229198,1.0,1.0,0.0,2.519144919330922,0.6666666666666666,0.6666666666666666,0.0,1.7918660610549269,0.0299652665454412,0.4580470840044957,0.4507871069496989,1.0,1.0,0.4651162790697674,1.3474496080142142,0.0648261980524775,-0.1686105861967455,-0.1657618877669363,0.2890590947815359,1.2246467991473532e-16,-1.0,2024-07-01,2.1347673080016896,0.925,0.7989676321450935,True,0.6347673080016896,0.6347673080016896,0.0,43426019.093432896,43426019.093432896,0.0,1,20415524.30008159,36,0.9855132450331126,0.9039735099337748,0.1812913907284768,0.8381622516556292,0.847682119205298,0.8975165562913907,country_specific_deviation,36,0.9855132450331126,69722252.81287162,0.9917218543046358,0.8975165562913907,0.9521771523178808,12,10
2024-08-01,854239,NL,네덜란드,기타,25395546,108,202408,2024,8,235143.94444444444,12.36795313515747,44,7.950588530226604,0.847301252169419,5.213452232745677,1.0,7.937776401183314,4.430176733974155,5.22857333519948,0.9906529415328096,651284585,0.038993009484479,0.215374897376207,0.0083981154161091,2024-07-01,5.303859095752877,0.675,0.675,2412.337071177421,11.0,17.050084362281687,4.68213122712422,1.0,1.0,0.0,5.213452232745677,0.6666666666666666,0.0,0.6666666666666666,1.4485216099920637,-0.7172754930781574,2.068692696329027,0.9916499792147424,1.0,1.0,0.5,2.6067261163728386,0.1776685911858884,-0.0096172221915868,-0.0059908683211957,0.2210377853923457,-0.8660254037844384,-0.5000000000000004,2024-09-01,-1.9863196349060903,0.0909090909090909,0.7590459926952801,True,0.4863196349060903,0.0,0.4863196349060903,12350352.658960825,0.0,12350352.658960825,1,7109158.372744551,70,0.9714403973509934,0.9925496688741722,0.2439983443708609,0.8381622516556292,0.7458609271523179,0.9034561258278144,country_specific_deviation,70,0.9714403973509934,94305146.99549556,0.9929635761589404,0.9034561258278144,0.950703642384106,13,10
