date,hs_code,country_code,country_name,hs_name,import_value,import_weight,year_month,year,month,unit_price,log_price,ht_country_count,ht_median_log_price,ht_mad_log_price,rel_z,price_rank_pct,loo_median_log_price,counterfactual_dev,counterfactual_dev_scaled,network_isolation_score,total_hs_month_import,import_share_country,hhi_hs_month,concentration_risk,lag_date,price_return,rank_shift,abs_rank_shift,import_growth,weight_growth,log_import_value,log_import_weight,anomaly_abs,anomaly_up,anomaly_down,abs_rel_z,anomaly_abs_roll3,anomaly_up_roll3,anomaly_down_roll3,abs_rel_z_roll3,price_return_roll3,price_volatility_roll3,import_growth_roll3,return_sign,majority_sign,sync_score,idiosyncratic_current_score,ht_median_return,ht_mad_return,total_import_return,price_distribution_shift,month_sin,month_cos,next_date,next_rel_z,next_price_rank_pct,next_network_isolation_score,has_next_month,future_abs_anomaly,future_up_anomaly,future_down_anomaly,future_net_anomaly_amount,future_up_anomaly_amount,future_down_anomaly_amount,actual_top_anomaly,predicted_net_anomaly_amount,risk_rank,pred_amount_score,idiosyncratic_score,systemic_score,persistence_score,concentration_score,structural_risk_score,risk_type,warning_rank
2024-10-01,854231,JP,일본,프로세서와 컨트롤러[메모리ㆍ변환기ㆍ논리회로ㆍ증폭기ㆍ클록(clock)ㆍ타이밍(timing) 회로나 그 밖의 회로를 갖춘 것인지는 상관없다],698090412,10813,202410,2024,10,64560.2896513456,11.075354789478773,41,7.922643214384418,1.184194555118741,2.662325680747813,0.95,7.879157244019878,3.1961975454588947,2.699047662095024,0.8345170259367023,3240630386,0.2154180911886321,0.29415210780653556,0.06336568558279661,2024-09-01,0.12540802708551269,-0.025000000000000022,0.025000000000000022,0.16885045203965676,0.031086106608181563,20.36385918242431,9.288504392945537,1.0,1.0,0.0,2.662325680747813,1.0,1.0,0.0,1.9088002603873153,0.22252260620663536,0.08346315288466687,0.3343795666419063,1.0,1.0,0.5609756097560976,1.168825908620991,-0.3791708056933265,-0.06939081009552073,0.06879633750471492,0.3787901532394025,-0.8660254037844386,0.5000000000000001,2024-11-01,2.225772999317924,1.0,0.8042631935424353,True,0.725772999317924,0.725772999317924,0.0,506655172.1123253,506655172.1123253,0.0,1,117052667.11284979,1,1.0,0.9151490066225165,0.6276903973509934,0.9546771523178808,0.9263245033112583,0.8896833609271524,common_plus_country_specific,1
2024-08-01,854231,JP,일본,프로세서와 컨트롤러[메모리ㆍ변환기ㆍ논리회로ㆍ증폭기ㆍ클록(clock)ㆍ타이밍(timing) 회로나 그 밖의 회로를 갖춘 것인지는 상관없다],547554900,10975,202408,2024,8,49891.10706150342,10.817598050657063,36,8.133972274934207,1.408496873641365,1.905311844097261,1.0,8.085736535692172,2.7318615149648906,1.9395580963571837,0.7687966700848728,2813713394,0.19460222962566598,0.296394836683722,0.05767909606818744,2024-07-01,0.2381545121674815,0.05128205128205132,0.05128205128205132,-0.03115103674838038,-0.2364686239042716,20.120973288600435,9.303375237943373,1.0,1.0,0.0,1.905311844097261,0.6666666666666666,0.6666666666666666,0.0,1.6794017240157473,0.03372550856426907,0.24297444826902748,0.22667455361204855,1.0,1.0,0.5,0.9526559220486305,-0.40866999673745674,0.21643824735252926,0.014467164914306663,0.44381198991369764,-0.8660254037844384,-0.5000000000000004,2024-09-01,2.1124470784348217,0.975,0.8246874764039497,True,0.6124470784348217,0.6124470784348217,0.0,335348398.78767097,335348398.78767097,0.0,1,115919700.27422917,2,0.9995860927152318,0.8257450331125827,0.6076158940397351,0.8381622516556292,0.9213576158940397,0.8420736754966888,common_plus_country_specific,2
2024-01-01,854231,JP,일본,프로세서와 컨트롤러[메모리ㆍ변환기ㆍ논리회로ㆍ증폭기ㆍ클록(clock)ㆍ타이밍(timing) 회로나 그 밖의 회로를 갖춘 것인지는 상관없다],437408621,10724,202401,2024,1,40787.82366654233,10.61613887630478,37,8.310343258544357,1.042822853097304,2.2111095963345484,0.9722222222222222,8.309575794209843,2.306563082094936,2.211845545237312,0.8149325692046185,2505202444,0.1746001094832079,0.25755508117024795,0.044969145370281786,2023-12-01,-0.04500289297264892,-0.0007507507507508171,0.0007507507507508171,0.12290113210591347,0.17458926615553128,19.89637837566063,9.28023949935585,1.0,1.0,0.0,2.2111095963345484,1.0,1.0,0.0,2.1393193290251484,0.12002914257225032,0.3180468427906087,0.010501538101092112,-1.0,1.0,0.5135135135135135,1.0756749387573479,-0.21437106569626252,0.12846765453580922,0.1019838230199448,0.3287599523292474,0.49999999999999994,0.8660254037844387,2024-02-01,2.2628458607179147,0.9705882352941176,0.7858641658625534,True,0.7628458607179147,0.7628458607179147,0.0,333675355.97218114,333675355.97218114,0.0,1,113768558.7438945,3,0.9991721854304636,0.8754139072847682,0.4029387417218543,0.9546771523178808,0.9006622516556292,0.8941949503311257,country_specific_deviation,3
2024-10-01,854232,CN,중국,메모리,1335518015,61436,202410,2024,10,21738.362116674263,9.98683381821763,24,7.769091551966014,1.7303953896906483,1.2816390285506325,0.8695652173913043,7.763871287820222,2.2229625303974077,1.2846558327890703,0.6627207721802755,1734060813,0.7701679231707544,0.6192226318900614,0.4769054083830972,2024-09-01,0.1139032578719128,0.06004140786749479,0.06004140786749479,0.1288756268947242,0.007345707352266029,21.012585079753148,11.025751261535518,0.0,0.0,0.0,1.2816390285506325,0.6666666666666666,0.6666666666666666,0.0,1.5653992356194368,0.2576067816584769,0.7135069540182735,-0.01140223998095317,1.0,1.0,0.375,0.8010243928441453,-0.621655418682165,0.443848604994721,0.11368992411841172,0.6157571929905445,-0.8660254037844386,0.5000000000000001,2024-11-01,1.1583376302402626,0.85,0.591216220178547,True,0.0,0.0,0.0,0.0,0.0,0.0,0,111477270.66063708,4,0.9987582781456954,0.6481788079470199,0.6668046357615894,0.8381622516556292,0.9900662251655629,0.7841059602649008,common_plus_country_specific,4
2024-09-01,854231,JP,일본,프로세서와 컨트롤러[메모리ㆍ변환기ㆍ논리회로ㆍ증폭기ㆍ클록(clock)ㆍ타이밍(timing) 회로나 그 밖의 회로를 갖춘 것인지는 상관없다],597245277,10487,202409,2024,9,56951.013349861736,10.94994676239326,41,8.301814020077744,1.2535853652142617,2.1124470784348217,0.975,8.289248917098725,2.6606978452945356,2.1224704109717902,0.8246874764039497,3032037323,0.1969782075139713,0.3224531376942175,0.06351624107026274,2024-08-01,0.13234871173619744,-0.025000000000000022,0.025000000000000022,0.09074957963119323,-0.044464692482915735,20.207838436227664,9.257891673834406,1.0,1.0,0.0,2.1124470784348217,1.0,1.0,0.0,1.8173681873190481,0.17369872409400897,0.16530375392856464,0.25794369637969145,1.0,1.0,0.43902439024390244,1.1850312879024612,0.16784174514353722,-0.15491150842710333,0.07759281007993102,0.2574639151531262,-1.0,-1.8369701987210297e-16,2024-10-01,2.662325680747813,0.95,0.8345170259367023,True,1.1623256807478128,1.1623256807478128,0.0,694193523.162441,694193523.162441,0.0,1,110615720.5352666,5,0.9983443708609272,0.8629966887417219,0.1490066225165563,0.9546771523178808,0.9267384105960265,0.9189466059602649,country_specific_deviation,5
2024-11-01,854231,JP,일본,프로세서와 컨트롤러[메모리ㆍ변환기ㆍ논리회로ㆍ증폭기ㆍ클록(clock)ㆍ타이밍(timing) 회로나 그 밖의 회로를 갖춘 것인지는 상관없다],604103130,11324,202411,2024,11,53347.15030024726,10.884575840125137,37,8.408240801961654,1.11257304267881,2.225772999317924,1.0,8.337742173821587,2.5468336663035505,2.2891383923624318,0.8042631935424353,2910860557,0.20753420446309617,0.36003278752206536,0.07471911813902277,2024-10-01,-0.1907789493536356,0.050000000000000044,0.050000000000000044,-0.1346348272149024,0.04725793026912051,20.21925548635693,9.33467964623179,1.0,1.0,0.0,2.225772999317924,1.0,1.0,0.0,2.226694867759965,0.16530375032973055,0.06318598263151906,0.07614966497415654,-1.0,-1.0,0.4864864864864865,1.1429645131632582,0.48559758757723603,-0.07162151243993087,-0.10176101243284463,0.5008377677727567,-0.5000000000000004,0.8660254037844384,2024-12-01,2.649341390662019,0.972972972972973,0.8419988948326664,True,1.149341390662019,1.149341390662019,0.0,694320731.5374784,694320731.5374784,0.0,1,109624070.41416235,6,0.9979304635761589,0.8791390728476821,0.6492135761589404,0.9546771523178808,0.9358443708609272,0.8758381622516556,common_plus_country_specific,6
2024-07-01,854231,JP,일본,프로세서와 컨트롤러[메모리ㆍ변환기ㆍ논리회로ㆍ증폭기ㆍ클록(clock)ㆍ타이밍(timing) 회로나 그 밖의 회로를 갖춘 것인지는 상관없다],565160227,14374,202407,2024,7,39318.229233337974,10.579443538489581,40,8.542642271671664,1.1920586262888357,1.708641858629863,0.9487179487179487,8.502711301205585,2.0767322372839967,1.7421393474156233,0.7650529939520762,2773587447,0.20376506520870477,0.3349545987195401,0.06825204565004263,2024-06-01,0.29706459471622715,0.027665317139001333,0.027665317139001333,0.9435401570429061,0.4440425959413301,20.152619836517967,9.573176298028388,1.0,1.0,0.0,1.708641858629863,0.6666666666666666,0.6666666666666666,0.0,1.7332013376746176,-0.026291267851304905,0.14976092180671963,-0.058552131594357716,1.0,-1.0,0.55,0.7688888363834383,0.13948522122026574,0.1697149574404908,0.27691166270450807,0.25938314815960173,-0.4999999999999997,-0.8660254037844388,2024-08-01,1.905311844097261,1.0,0.7687966700848728,True,0.40531184409726095,0.40531184409726095,0.0,229066133.8157966,229066133.8157966,0.0,1,108563005.85615346,7,0.9975165562913907,0.7880794701986755,0.3255380794701987,0.8381622516556292,0.9308774834437086,0.8580091059602648,country_specific_deviation,7
2024-04-01,854231,JP,일본,프로세서와 컨트롤러[메모리ㆍ변환기ㆍ논리회로ㆍ증폭기ㆍ클록(clock)ㆍ타이밍(timing) 회로나 그 밖의 회로를 갖춘 것인지는 상관없다],385765494,10856,202404,2024,4,35534.77284450995,10.478267012796774,37,8.146495193427576,1.2469096634420254,1.870040699606474,0.9722222222222222,8.062454501698085,2.4158125110986894,1.9374398819157213,0.7516775989547966,2498016918,0.154428695506537,0.33293357609047075,0.05141449784597778,2024-03-01,0.11701426546950522,0.051169590643274865,0.051169590643274865,0.08786010142368728,-0.03226956676769477,19.77074021431148,9.292473201514705,1.0,1.0,0.0,1.870040699606474,1.0,1.0,0.0,2.1185938071499897,-0.09996300731671977,0.15799261263259765,0.0038303343316343033,1.0,-1.0,0.43243243243243246,1.0613744511279988,0.05165028698631424,0.04254332789110116,0.07916664832607001,0.07554159061997219,0.8660254037844387,-0.4999999999999998,2024-05-01,1.491412454187359,1.0,0.7451253294691957,True,0.0,0.0,0.0,0.0,0.0,0.0,0,107703534.89441097,8,0.9971026490066225,0.8191225165562914,0.006415562913907285,0.9546771523178808,0.9118377483443708,0.9153042218543045,country_specific_deviation,8
2024-07-01,854232,CN,중국,메모리,1340504928,51379,202407,2024,7,26090.52196422663,10.169327384225271,21,8.128969803117489,1.1257561936767182,1.8124329162640247,0.95,8.016467718574827,2.1528596656504444,1.9123675958816693,0.7774363575643453,1638524057,0.8181173308217103,0.683260542448305,0.5589872912436012,2024-06-01,1.0692171688549852,0.1499999999999999,0.1499999999999999,0.08691945345012853,-0.6268853982847142,21.01631219187374,10.84698480764847,1.0,1.0,0.0,1.8124329162640247,0.0,0.0,0.0,1.234636950378763,-0.19299913049873693,0.492945782616243,-0.05266601876208651,1.0,-1.0,0.42857142857142855,1.0356759521508712,0.4090452264225197,-0.2092634642860718,0.0771925433481373,0.5492380543349654,-0.4999999999999997,-0.8660254037844388,2024-08-01,1.731701292143393,0.9473684210526315,0.7673682880636723,True,0.23170129214339297,0.23170129214339297,0.0,310596723.94218594,310596723.94218594,0.0,1,107106644.90166408,9,0.9966887417218543,0.8149834437086093,0.5978890728476821,0.2644867549668874,0.9954470198675497,0.7636175496688742,country_specific_deviation,9
2024-04-01,854232,CN,중국,메모리,1322337940,68108,202404,2024,4,19415.31009573031,9.873817214004754,22,7.670227914873275,1.5157202568621573,1.4538232164907186,0.9047619047619048,7.4692977810398355,2.4045194329649187,1.5863873442865721,0.7123000076332356,1695707358,0.7798149449322611,0.6267789189030138,0.4887715681290559,2024-03-01,0.19470960713825747,0.004761904761904745,0.004761904761904745,-0.08979708241796935,-0.250835973248856,21.002667173545287,11.128849959540535,0.0,0.0,0.0,1.4538232164907186,0.3333333333333333,0.3333333333333333,0.0,1.3119214056588955,-0.021658049072038683,0.11588813801622388,0.09952206033634418,1.0,1.0,0.4090909090909091,0.8590773551990608,-0.1114004804774007,-0.11795761789380421,-0.0358594688141709,0.15131944434560582,0.8660254037844387,-0.4999999999999998,2024-05-01,1.2162559375292528,0.9090909090909091,0.6518198708546841,True,0.0,0.0,0.0,0.0,0.0,0.0,0,92260990.61206684,10,0.9962748344370861,0.7139900662251656,0.05111754966887417,0.6477649006622517,0.9913079470198676,0.8397144039735099,country_specific_deviation,10
